,station,MAG_MEAN
1,800,42788.176
2,801,42642.176
3,802,42584.344
4,803,42583.512
5,804,42474.512
6,805,42414.68
7,806,42797.475
8,807,42408.475
9,808,42574.95
10,809,42764.425
11,810,42900.425
12,811,42593.9
13,812,42681.9
14,813,42698.375
15,814,42575.85
16,815,42679.85
17,816,42426.85
18,817,42619.325
19,818,42328.8
20,819,42268.275
21,820,42499.275
22,821,42623.75
23,822,42423.108
24,823,42492.108
25,824,42708.216
26,825,42483.324
27,826,42722.324
28,827,42511.432
29,828,42618.54
30,829,42693.54
31,830,42569.648
32,831,42569.756
33,832,42706.864
